Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
01/07/2019,"15,987","9,962",407,"21,223","3,715",
30/08/2024,"16,436","10,705",225,"19,026","3,925",59
15/09/2023,"15,499","10,671",267,"18,421","4,519",61
28/12/2021,"1,756","2,352",0,"3,775",0,13
11/01/2023,"10,536","8,347",223,"14,072",0,48
11/09/2021,820,612,0,"1,283",0,11
31/01/2020,"12,977","9,620",242,"19,327",0,0
01/03/2023,"17,387","11,627",362,"21,753","5,544",108
17/07/2021,"2,735","3,651",0,"5,236",0,20
07/03/2023,"17,674","11,859",364,"21,560","5,700",91
12/11/2020,"13,405","6,989",273,"13,688","4,983",74
29/08/2023,"16,332","11,502",395,"20,819","4,718",90
30/09/2019,"14,148","11,666",414,"22,670",0,0
11/03/2023,"4,137","6,701",0,"9,370",9,19
11/06/2020,"9,293","4,765",127,"9,940","4,936",1
08/05/2022,"1,815","3,424",0,"4,869",0,18
22/06/2021,"15,204","9,372",324,"16,855","4,239",80
28/06/2022,"11,895","8,363",262,"14,384","2,913",57
19/07/2024,"11,573","9,340",254,"15,526",0,70
25/10/2021,"6,517","3,158",80,"6,569","1,861",39
05/05/2021,"16,573","9,338",341,"17,666","5,786",77
11/04/2023,"11,880","9,258",292,"16,829",0,49
04/10/2020,"1,835","3,226",0,"4,156",0,27
30/12/2021,"4,349","2,957",16,"4,988",0,40
27/10/2019,"3,020","5,112",0,"6,761",0,171
28/11/2019,"18,200","11,890",424,"23,911","4,904",0
19/12/2020,"3,103","4,635",0,"5,958",0,24
19/11/2022,"3,736","5,573",0,"7,765",0,32
13/09/2021,"2,164",848,22,"2,204",0,35
17/09/2023,"2,709","5,108",0,"7,813",0,23
30/12/2019,"5,899","4,310",26,"7,269",0,0
12/10/2019,"3,631","6,629",0,"9,204",0,0
04/11/2021,"9,013","4,379",112,"8,518","4,388",56
10/07/2024,"12,394","9,952",308,"16,751",0,76
18/01/2023,"11,246","8,489",278,"14,409",0,70
08/07/2024,"11,237","8,654",282,"15,559",0,52
12/09/2020,"2,449","3,707",0,"5,562",0,17
07/10/2023,"4,077","6,830",0,"8,725",0,14
02/06/2020,"9,101","4,373",110,"9,258","4,931",1
02/02/2022,"11,578","5,892",114,"10,954","5,852",53
15/05/2021,"3,003","4,645",0,"6,296",0,27
19/03/2022,"3,189","5,160",0,"6,911",0,34
02/02/2023,"15,814","10,464",324,"18,290","5,995",82
08/01/2021,"8,402","6,501",144,"10,400",0,34
07/03/2024,"19,316","12,226",351,"22,311","5,990",110
16/08/2024,"16,467","10,797",256,"19,135","4,678",95
23/10/2020,"13,313","6,459",198,"13,817","5,004",40
23/09/2020,"12,750","6,277",202,"12,590","4,965",63
10/05/2024,"17,339","10,895",281,"19,114","5,080",75
28/08/2024,"16,867","11,452",333,"21,017","4,644",106
23/07/2020,"11,244","5,630",167,"11,301","5,205",64
13/01/2024,"3,537","4,717",0,"6,425",0,20
26/02/2023,"2,481","5,640",0,"6,881",0,21
12/08/2020,"11,814","5,681",180,"11,606","5,116",52
12/09/2022,"13,036","8,545",215,"15,050","4,514",105
28/02/2023,"15,837","11,516",351,"20,528","2,345",84
28/03/2020,"1,092","1,081",0,"1,971",0,0
24/07/2019,"19,380","12,044",463,"25,312","5,786",1
18/08/2024,"2,719","4,481",0,"6,552",0,13
26/04/2021,"2,282","3,173",0,"4,503",0,23
08/12/2021,"11,353","6,969",213,"12,215","2,565",76
05/11/2019,"18,877","12,355",468,"24,998","5,752",1
01/08/2024,"17,225","11,114",333,"20,758","5,031",79
26/11/2020,"13,752","8,194",237,"14,711","4,502",67
16/06/2023,"14,424","10,477",284,"17,591","4,425",64
21/12/2019,"3,175","4,981",0,"6,683",0,1
01/01/2023,"1,364","2,406",0,"3,178",0,4
09/10/2022,"2,154","3,826",0,"5,430",0,16
07/08/2023,"15,879","10,904",330,"19,511","4,755",71
31/08/2024,"4,742","5,775",0,"8,586",0,20
18/07/2020,"2,035","3,565",0,"4,853",0,23
20/07/2022,"13,322","8,369",212,"14,852","4,448",61
27/03/2024,"18,173","12,156",393,"20,914","5,656",80
04/10/2019,"14,021","12,060",313,"23,197",0,0
11/02/2021,"16,855","9,005",308,"17,343","6,264",111
23/07/2022,"3,016","5,045",0,"6,759",0,30
20/04/2020,"2,987","2,388",55,"3,662",0,0
03/05/2020,959,"1,086",0,"1,821",0,0
25/09/2021,821,709,0,"1,425",0,12
06/09/2019,"17,771","11,162",364,"22,459","5,421",0
24/03/2023,"16,465","11,110",281,"19,704","5,200",76
09/09/2020,"12,127","6,074",157,"11,887","5,078",54
28/07/2021,"15,168","8,604",314,"16,204","5,318",55
15/04/2024,"12,891","10,139",366,"17,634",0,65
05/07/2024,"13,529","9,363",247,"16,422","2,344",81
26/01/2021,"1,960","2,800",0,"4,382",0,14
30/08/2023,"16,457","11,148",385,"20,283","4,678",91
13/05/2023,"3,988","6,036",0,"8,328",0,24
09/07/2020,"6,888","5,062",129,"9,600",0,8
26/07/2019,"18,698","12,296",298,"24,258","5,634",2
24/09/2020,"13,115","6,539",217,"12,691","5,071",49
12/07/2023,"11,725","9,846",348,"16,297",0,49
01/10/2019,"15,028","12,441",421,"24,365",0,1
03/04/2024,"17,476","11,100",396,"20,651","5,604",89
04/06/2022,"2,632","4,137",0,"5,868",0,16
25/12/2021,79,409,0,156,0,0
12/03/2021,"16,565","9,548",258,"17,365","5,472",79
14/12/2021,"11,100","7,081",221,"12,751",841,57
23/02/2020,"3,124","6,520",0,"7,922",2,1
27/02/2022,"1,958","3,660",0,"4,666",0,33
10/06/2021,"15,388","9,114",289,"16,617","5,269",84
04/01/2023,"8,322","5,964",140,"10,293",0,32
10/12/2022,"3,687","6,170",0,"7,773",0,26
22/02/2021,"16,090","8,742",318,"16,780","5,741",84
17/09/2019,"18,169","11,827",484,"25,470","5,711",0
10/01/2021,"1,866","2,063",0,"4,063",0,18
02/03/2020,"19,911","12,308",485,"26,947","6,518",0
01/05/2020,"3,258","1,687",41,"3,734",72,8
12/10/2021,"2,775","1,231",36,"2,806",0,29
07/06/2022,"12,863","8,321",233,"14,594","4,367",58
13/10/2022,"15,019","9,623",240,"17,206","4,386",94
19/07/2023,"15,669","10,790",380,"18,916","5,000",98
06/04/2024,"3,894","5,093",0,"6,917",0,18
06/03/2022,"1,935","3,126",0,"4,911",11,20
18/03/2022,"13,920","8,671",191,"15,136","4,728",109
05/10/2022,"9,813","7,663",252,"13,674",0,45
02/08/2024,"16,929","10,875",256,"19,123","4,654",64
10/04/2020,379,506,0,850,0,0
20/04/2024,"5,039","6,200",0,"8,743",0,26
14/05/2024,"18,033","11,508",363,"20,873","5,229",72
24/02/2020,"20,110","12,211",516,"26,749","6,622",0
28/10/2020,"13,441","7,017",237,"13,669","5,350",46
20/10/2023,"16,409","11,289",276,"19,301","4,789",82
27/11/2022,"2,534","4,322",0,"6,253",0,21
24/11/2021,"10,571","5,992",175,"11,603","4,309",62
10/05/2022,"13,618","8,881",270,"15,462","4,768",97
13/02/2024,"18,918","11,369",370,"21,562","6,431",96
17/03/2024,"2,856","4,739",0,"6,702",0,17
16/11/2019,"4,063","6,734",0,"9,130",0,0
10/07/2020,"6,701","5,250",111,"9,377",0,3
01/01/2022,"1,028","1,653",0,"2,245",0,9
17/06/2023,"3,861","5,745",0,"7,858",0,64
26/09/2022,"10,515","8,757",211,"14,394",0,68
01/12/2022,"14,039","9,654",228,"16,573","3,421",51
28/02/2020,"20,266","14,527",416,"27,198","6,358",0
20/11/2022,"2,384","4,102",0,"5,694",0,34
03/08/2020,"11,297","5,464",148,"10,927","5,289",89
30/08/2019,"18,595","12,416",363,"24,492","5,150",1
07/05/2020,"3,741","2,126",58,"4,792",147,8
26/01/2023,"2,333","4,119",0,"5,938",0,13
18/08/2023,"15,409","10,825",260,"18,974","4,402",92
09/04/2024,"16,863","10,584",423,"19,544","5,557",85
18/08/2021,"2,079",800,22,"1,915",19,17
17/05/2020,"1,074","1,489",0,"2,243",0,0
16/03/2023,"17,731","11,437",266,"21,334","5,628",115
04/06/2023,"2,317","4,011",0,"5,786",0,13
17/04/2024,"13,922","11,068",406,"19,070",0,80
26/04/2024,"11,988","9,336",193,"15,869",0,78
09/01/2023,"9,863","7,632",226,"13,141",0,44
19/07/2022,"13,438","8,299",221,"14,648","4,620",58
27/04/2024,"4,922","6,073",0,"8,213",0,24
26/08/2021,"2,074",753,14,"1,909",0,22
07/02/2024,"18,667","11,522",406,"21,230","6,756",88
06/02/2022,"1,888","2,750",0,"4,112",0,14
01/09/2020,"12,001","6,149",187,"12,148","5,041",69
19/12/2022,"10,284","7,898",184,"13,242",0,48
11/02/2020,"20,335","12,064",529,"26,842","7,255",1
06/07/2022,"9,609","7,958",235,"12,697",0,52
19/05/2023,"15,563","10,628",287,"18,360","4,607",87
05/05/2023,"15,523","10,625",274,"18,453","4,759",81
07/08/2024,"17,505","11,695",349,"21,288","4,961",76
29/09/2024,1,0,0,3,0,
06/04/2023,"15,478","10,385",258,"18,318","4,393",78
21/06/2024,"14,986","9,623",263,"17,075","4,501",77
26/01/2022,"1,716","2,424",0,"3,957",0,22
22/09/2020,"12,729","6,408",228,"12,778","5,228",41
31/07/2019,"19,599","12,447",478,"25,342","5,736",0
09/11/2019,"3,905","6,565",0,"9,388",0,0
02/03/2023,"17,478","11,640",333,"20,972","5,190",159
19/03/2024,"19,306","12,747",423,"22,837","6,025",82
13/08/2020,"11,977","5,930",172,"11,904","5,184",58
15/06/2022,"13,225","8,683",228,"14,884","4,201",39
27/02/2023,"16,775","10,728",312,"19,631","5,672",71
12/04/2021,"11,021","8,155",277,"14,571",0,49
31/10/2023,"16,627","10,852",325,"19,294","5,172",56
29/04/2020,"2,831","1,555",59,"3,692",70,1
10/02/2020,"17,882","10,840",434,"23,380","6,021",0
06/08/2020,"11,774","5,871",176,"11,698","5,135",50
26/12/2023,"2,375","3,845",0,"5,868",0,13
12/05/2024,"2,494","4,437",0,"6,251",0,14
02/12/2020,"13,699","8,330",252,"14,685","4,238",46
03/08/2024,"4,804","6,173",0,"8,623",2,26
16/09/2021,"2,429",943,23,"2,390",0,33
27/11/2021,"2,728","3,949",0,"5,549",0,22
11/05/2020,"4,023","2,154",78,"4,980",800,2
29/04/2022,"13,989","9,034",198,"15,513","5,070",50
04/12/2020,"13,528","9,163",187,"14,770","3,830",65
15/11/2020,"2,055","3,196",0,"4,597",0,20
19/11/2021,"10,516","6,492",128,"10,990","4,013",48
11/02/2023,"3,940","6,141",0,"8,266",0,12
24/07/2023,"16,262","11,164",362,"19,238","4,795",93
02/10/2023,"2,511","4,697",0,"6,450",0,20
15/05/2024,"17,920","11,871",388,"20,313","5,164",62
17/10/2021,883,"1,321",0,"2,098",0,10
02/01/2020,"6,913","6,330",118,"9,780",0,0
29/04/2021,"17,194","9,979",315,"18,817","5,599",98
09/02/2023,"15,166","9,802",264,"17,773","5,120",123
06/01/2021,"8,049","5,878",179,"9,748",0,36
15/11/2023,"16,271","10,494",362,"19,149","4,833",65
05/02/2021,"15,710","9,112",237,"15,836","6,347",102
28/12/2023,"6,486","4,876",21,"7,742",0,43
08/01/2023,"2,299","4,248",0,"5,101",0,33
14/03/2022,"2,098","3,309",0,"5,210",0,26
30/04/2024,"18,231","11,851",383,"21,160","5,821",94
17/02/2020,"19,785","12,012",482,"25,998","6,668",0
13/11/2021,"2,225","3,257",0,"4,599",0,17
10/04/2021,"3,123","4,847",0,"6,049",0,33
26/12/2021,"1,263","2,186",0,"3,243",0,19
13/10/2019,"2,943","4,965",0,"7,552",0,0
01/12/2021,"11,388","6,868",203,"12,338","3,985",83
03/01/2020,"7,397","7,663",107,"10,164",0,0
25/08/2024,"2,387","4,467",0,"6,187",0,23
23/01/2023,"10,852","8,339",258,"14,102",0,64
22/07/2024,"12,878","10,073",322,"17,691",368,77
09/02/2022,"12,354","6,322",142,"11,858","5,729",78
19/08/2023,"4,021","6,110",0,"8,416",0,21
17/07/2020,"7,244","5,395",114,"9,896",0,10
29/10/2023,"2,704","4,952",0,"6,408",0,23
14/07/2024,"2,510","4,364",0,"6,116",0,34
15/03/2023,"17,500","11,811",383,"21,486","5,634",119
20/10/2019,"3,046","4,849",0,"7,014",0,6
02/01/2022,"1,510","1,951",0,"3,136",0,18
23/10/2023,"15,954","10,448",331,"18,810","5,266",65
06/01/2020,"8,773","6,938",236,"12,938",0,0
23/11/2021,"11,289","6,341",167,"11,741","4,457",51
30/03/2021,"16,440","9,534",335,"17,212","5,680",78
10/05/2020,977,"1,193",0,"1,999",0,0
03/12/2021,"11,420","7,405",161,"12,708","3,479",51
28/08/2019,"19,485","12,217",492,"26,363","5,358",0
23/08/2021,"1,905",745,17,"1,758",10,18
12/01/2022,"5,972","3,783",70,"6,911",0,29
08/04/2023,"3,311","5,053",0,"6,769",0,19
13/06/2022,"1,828","3,004",0,"4,246",0,13
21/05/2023,"2,441","4,214",0,"6,279",0,15
13/12/2022,"13,215","9,540",242,"16,023",882,66
14/01/2020,"12,361","9,864",398,"19,326",0,0
18/11/2023,"4,319","6,477",0,"8,941",0,31
27/06/2024,"15,434","9,897",315,"18,010","4,044",74
15/01/2023,"2,192","3,590",0,"5,281",0,19
11/12/2021,"2,880","4,493",0,"5,914",0,26
02/09/2021,"2,126",813,21,"2,127",0,17
29/10/2020,"13,382","6,840",223,"13,813","5,210",68
17/03/2020,"16,698","9,402",395,"22,215","5,750",0
28/01/2023,"3,455","4,915",0,"7,531",0,21
24/06/2020,"9,303","5,605",131,"10,776","4,733",5
23/02/2024,"17,296","11,619",307,"20,097","5,490",100
01/12/2020,"13,219","8,006",270,"13,883","4,467",54
25/07/2023,"16,479","11,744",311,"20,257","4,854",87
26/06/2024,"15,703","10,374",319,"18,275","4,166",82
07/03/2021,"2,365","3,802",0,"4,993",0,18
07/08/2019,"19,435","12,306",414,"26,179","5,776",0
15/01/2020,"12,711","9,628",364,"18,994",0,0
27/05/2022,"13,001","8,735",182,"14,701","2,498",123
12/08/2023,"4,025","6,142",0,"8,473",0,25
12/02/2023,"2,507","4,680",0,"6,310",0,22
29/06/2023,"13,625","9,479",298,"16,902","2,557",65
08/11/2019,"17,838","11,925",372,"24,095","5,345",0
18/01/2021,"10,092","5,056",276,"12,681",0,40
09/11/2023,"15,411","10,537",330,"18,351","4,814",78
28/12/2019,"2,874","4,172",0,"5,745",0,1
13/05/2022,"13,176","8,858",167,"15,019","4,461",71
24/04/2020,"3,340","1,821",41,"4,129",0,2
13/01/2021,"10,052","5,004",219,"12,502",0,46
26/04/2020,756,798,0,"1,416",0,0
21/03/2022,"13,377","7,956",208,"14,689","4,899",75
27/08/2020,"12,319","6,259",165,"11,917","4,962",55
05/07/2022,"9,438","7,927",213,"12,931",0,27
07/02/2021,"2,211","3,647",0,"4,879",0,28
07/08/2021,"3,098","4,506",0,"6,145",0,33
11/02/2022,"12,311","7,163",114,"12,151","5,266",64
15/03/2024,"18,107","12,032",298,"20,985","5,945",124
28/05/2020,"7,933","3,671",91,"8,221","3,882",1
10/10/2021,602,611,0,"1,228",0,8
04/09/2023,"15,376","10,187",332,"18,262","4,847",60
08/03/2022,"13,366","7,524",212,"14,318","5,319",89
08/09/2023,"14,429","10,162",240,"17,486","4,327",63
05/08/2022,"11,957","8,944",147,"14,679","1,355",58
12/03/2023,"2,607","5,029",0,"7,004",0,14
04/09/2022,"2,078","3,802",0,"5,329",0,21
27/01/2024,"4,095","6,110",0,"8,694",0,21
09/05/2020,"1,245","1,415",0,"2,362",0,0
30/09/2021,"2,351",983,18,"2,344",0,29
13/03/2022,"2,028","3,748",0,"5,191",0,21
24/09/2019,"19,105","12,898",479,"25,750","5,437",0
13/04/2020,747,664,0,"1,292",0,1
03/02/2020,"15,704","10,860",361,"22,332","1,158",0
16/12/2022,"12,338","9,598",175,"15,433",409,60
12/01/2023,"10,638","7,976",212,"13,777",0,69
29/09/2023,"11,992","11,516",235,"17,648",0,69
18/04/2021,"2,065","3,290",0,"4,619",0,30
08/05/2020,"4,052","2,305",58,"4,977",117,2
04/05/2023,"16,502","11,026",351,"19,604","5,281",91
18/09/2024,"16,776","11,300",383,"20,242","4,401",72
20/11/2019,"18,444","11,645",476,"24,190","5,700",1
18/06/2022,"2,948","4,648",0,"6,328",0,28
23/10/2022,"2,191","3,992",0,"5,284",0,9
07/11/2022,"13,382","8,603",257,"15,154","3,988",75
05/10/2021,"2,619","1,085",26,"2,647",0,22
05/04/2022,"14,132","8,463",285,"15,602","5,037",50
05/10/2020,"1,939","2,908",0,"4,165",0,23
08/11/2020,"1,897","2,846",0,"4,312",0,16
29/05/2021,"3,113","4,730",0,"6,304",0,28
24/12/2022,"2,789","3,713",0,"5,451",0,8
03/11/2020,"13,524","7,172",237,"13,918","5,160",66
17/04/2020,"3,181","2,355",56,"3,768",0,2
13/01/2020,"12,003","9,268",361,"18,173",0,0
22/03/2023,"17,377","11,267",365,"20,932","5,406",87
11/04/2024,"17,427","10,766",339,"20,120","5,269",81
03/09/2021,"2,269",897,20,"2,263",0,20
07/11/2023,"16,539","10,869",316,"19,710","5,143",66
15/04/2021,"11,963","8,963",296,"15,793",0,61
30/11/2021,"11,367","6,862",195,"12,653","4,084",48
09/10/2020,"9,448","6,380",191,"11,243",0,33
12/06/2021,"3,055","4,445",0,"6,054",0,23
19/12/2019,"14,879","10,504",358,"20,172",716,0
06/06/2022,"12,330","7,863",222,"13,727","4,404",49
12/07/2021,"14,136","8,295",268,"15,328","2,467",50
12/05/2020,"4,114","2,283",66,"5,166",893,0
20/11/2020,"13,285","8,413",188,"14,184","4,534",42
18/02/2021,"16,578","8,948",294,"17,583","5,881",109
23/07/2019,"19,392","12,180",461,"25,344","5,935",0
03/06/2021,"14,430","8,241",309,"15,403","5,020",66
19/04/2023,"12,722","10,390",357,"18,357",0,84
26/04/2023,"17,301","11,169",358,"20,868","5,566",94
05/01/2020,"1,451","2,165",0,"2,735",0,0
01/09/2023,"15,896","11,184",276,"19,307","4,443",67
07/06/2023,"16,016","10,469",398,"18,380","4,793",76
23/05/2020,"1,433","1,824",0,"3,077",0,0
30/07/2019,"19,887","12,553",457,"25,617","5,765",15
04/06/2021,"16,028","9,564",247,"16,553","5,433",57
01/08/2019,"19,950","12,601",459,"25,864","5,754",1
28/05/2022,"2,855","4,303",0,"6,034",0,11
30/08/2021,"1,996",729,22,"1,984",0,16
09/11/2021,"10,671","5,459",143,"10,233","4,732",38
17/06/2020,"9,614","5,065",136,"10,446","4,838",4
09/05/2022,"13,333","8,416",261,"14,670","4,528",53
05/06/2022,"1,704","2,837",0,"4,354",0,12
14/04/2022,"9,845","7,470",173,"12,618",0,83
06/10/2023,"12,318","10,541",260,"17,366",0,61
30/01/2024,"14,620","9,978",369,"17,664",170,72
08/01/2020,"10,981","8,488",331,"16,238",0,0
22/06/2024,"4,768","5,618",0,"8,056",1,24
22/08/2020,"2,036","2,846",0,"4,520",0,15
13/11/2023,"3,406","12,088",50,"5,273","1,124",22
01/06/2023,"15,850","10,345",334,"18,390","4,821",91
02/05/2020,"1,081","1,148",0,"2,062",0,2
20/02/2023,"16,230","11,061",334,"19,905","5,439",72
11/06/2022,"2,802","4,292",0,"5,975",0,22
19/10/2023,"16,900","11,259",308,"19,761","5,074",102
04/08/2019,"3,792","4,595",0,"6,009",0,0
09/02/2020,"2,536","3,509",0,"5,396",0,0
25/02/2020,"21,059","13,128",529,"28,340","6,634",0
03/03/2023,"16,583","11,200",269,"19,885","5,013",77
10/08/2021,"16,088","9,447",300,"17,588","5,489",71
21/09/2019,"4,555","5,740",0,"7,260",0,0
23/12/2023,"3,836","4,871",0,"6,909",0,19
15/08/2020,"2,083","3,221",0,"4,659",0,16
22/11/2021,"10,505","5,865",168,"11,053","4,531",33
23/08/2022,"12,873","8,272",222,"14,776","4,148",52
10/07/2023,"10,806","8,737",302,"15,269",0,60
17/09/2024,"17,080","11,374",349,"20,551","4,878",80
18/03/2020,"16,175","8,571",328,"20,475","5,959",0
21/07/2022,"12,698","7,583",188,"14,168","4,564",61
21/01/2022,"6,639","4,430",62,"7,920",0,43
04/03/2022,"13,944","8,003",170,"14,636","5,217",115
10/07/2021,"2,855","4,626",0,"6,007",0,21
15/02/2020,"3,686","5,603",0,"8,089",0,0
27/05/2023,"3,704","5,533",0,"7,544",0,12
10/12/2021,"10,141","6,917",141,"11,752","1,883",41
03/06/2023,"3,689","5,536",0,"7,573",4,21
05/09/2022,"13,358","8,597",246,"14,853","4,479",81
20/06/2023,"14,437","10,093",376,"17,790","4,252",92
04/12/2023,"14,820","10,167",354,"17,748","3,425",51
26/09/2019,"19,068","12,320",455,"25,835","5,310",0
18/01/2022,"5,810","3,703",84,"6,896",0,37
27/10/2021,"7,748","3,515",73,"7,175","2,000",34
07/05/2022,"2,957","4,761",0,"6,214",0,18
31/12/2022,"2,897","4,459",0,"5,731",0,22
04/04/2023,"16,922","10,937",340,"19,485","5,398",79
27/12/2020,"1,759","2,932",0,"3,913",0,15
04/08/2023,"16,092","11,230",255,"19,419","4,695",78
01/10/2021,"2,593","1,101",19,"2,575",0,21
14/09/2023,"16,073","10,802",317,"19,564","4,777",106
29/09/2021,"2,086",878,20,"2,167",0,22
